Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-12-14T15:30:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 9,Dec 10,Dec 11,Dec 12,Dec 13,,
Volume,,
Futures,"378,843","420,928","911,070","1,899,459","1,206,446",,
Options,"14,412","14,217","13,298","25,305","10,688",,
TOTAL,"393,255","435,145","924,368","1,924,764","1,217,134",,
Value ($'000),,
Futures,"133,472,358","134,203,179","223,073,633","441,672,648","253,947,458",,
Options,"1,503,359","1,617,362","1,528,045","2,576,809","1,149,860",,
TOTAL,"134,975,717","135,820,542","224,601,678","444,249,457","255,097,318",,
Spot Month Movement:,,
SPI 200,5143.0,5147.0,5115.0,5057.0,5095.0,,
90 Day Bank Bills,97.410,97.410,97.420,97.410,97.410,,
6% 3 Year C'wlth Bonds,96.890,96.880,96.935,96.970,96.980,,
6% 10 Year C'wlth Bonds,95.690,95.675,95.720,95.745,95.740,,
,
