Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-11-27T18:30:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 21,Nov 22,Nov 23,Nov 24,Nov 25,,
Volume,,
Futures,"279,341","334,795","308,381","238,277","208,288",,
Options,"8,332","5,162","4,916","4,317","4,049",,
TOTAL,"287,673","339,957","313,297","242,594","212,337",,
Value ($'000),,
Futures,"138,950,858","119,909,523","141,434,752","120,827,285","111,283,264",,
Options,"838,232","516,119","533,343","498,379","425,450",,
TOTAL,"139,789,090","120,425,642","141,968,095","121,325,664","111,708,714",,
Spot Month Movement:,,
SPI 200,4186.0,4152.0,4064.0,4048.0,4003.0,,
90 Day Bank Bills,95.510,95.520,95.540,95.540,95.540,,
6% 3 Year C'wlth Bonds,96.800,96.870,96.930,96.950,96.980,,
6% 10 Year C'wlth Bonds,95.960,96.020,96.065,96.105,96.115,,
,
