Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-11-01T15:00:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Oct 27,Oct 28,Oct 29,Oct 30,Oct 31,,
Volume,,
Futures,"215,501","263,560","374,619","305,695","374,439",,
Options,"10,014","9,486","12,941","15,149","4,957",,
TOTAL,"225,515","273,046","387,560","320,844","379,396",,
Value ($'000),,
Futures,"84,048,601","82,263,849","130,909,778","116,701,787","109,165,822",,
Options,"1,071,735","1,016,532","1,406,764","1,637,525","526,873",,
TOTAL,"85,120,336","83,280,381","132,316,542","118,339,312","109,692,694",,
Spot Month Movement:,,
SPI 200,5438.0,5448.0,5429.0,5458.0,5518.0,,
90 Day Bank Bills,97.300,97.300,97.300,97.300,97.300,,
6% 3 Year C'wlth Bonds,97.400,97.460,97.400,97.380,97.420,,
6% 10 Year C'wlth Bonds,96.680,96.745,96.685,96.645,96.695,,
,
