Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2015-09-21T15:15:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Sep 14,Sep 15,Sep 16,Sep 17,Sep 18,,
Volume,,
Futures,"644,507","757,234","592,204","409,708","600,337",,
Options,724,"4,353","5,498","1,627","10,630",,
TOTAL,"645,231","761,587","597,702","411,335","610,967",,
Value ($'000),,
Futures,"139,460,985","211,444,596","204,479,642","160,409,874","230,850,050",,
Options,"83,652","456,799","610,052","176,460","1,095,250",,
TOTAL,"139,544,637","211,901,395","205,089,694","160,586,334","231,945,300",,
Spot Month Movement:,,
SPI 200,5091.0,5006.0,5117.0,5177.0,5176.9,,
90 Day Bank Bills,97.970,97.960,97.940,97.930,97.920,,
6% 3 Yr C'wlth Bonds,98.110,98.070,98.090,98.020,98.100,,
6% 10 Yr C'wlth Bonds,97.2750,97.2575,97.1700,97.1000,97.1950,,
,
