Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2013-02-24T20:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,,
Volume,,
Futures,"298,157","345,080","331,620","351,726","491,286",,
Options,"16,939","11,218","15,515","19,098","30,996",,
TOTAL,"315,096","356,298","347,135","370,824","522,282",,
Value ($'000),,
Futures,"163,761,171","231,006,248","139,657,021","164,847,936","244,220,251",,
Options,"1,726,056","1,136,788","1,601,151","1,929,146","3,172,003",,
TOTAL,"165,487,227","232,143,036","141,258,171","166,777,082","247,392,254",,
Spot Month Movement:,,
SPI 200,5042.0,5060.0,5073.0,4967.0,4993.0,,
90 Day Bank Bills,97.110,97.090,97.070,97.090,97.060,,
6% 3 Year C'wlth Bonds,97.100,97.100,97.090,97.140,97.110,,
6% 10 Year C'wlth Bonds,96.465,96.445,96.440,96.490,96.490,,
,
