Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-10-30T17:00:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Oct 24,Oct 25,Oct 26,Oct 27,Oct 28,,
Volume,,
Futures,"234,941","234,233","382,283","364,838","424,330",,
Options,"2,251","3,341","9,515","10,761","6,793",,
TOTAL,"237,192","237,574","391,798","375,599","431,123",,
Value ($'000),,
Futures,"92,090,740","131,859,109","245,000,324","178,149,492","208,732,633",,
Options,"1,134,799","354,881","1,696,944","1,092,750","1,623,970",,
TOTAL,"93,225,539","132,213,990","246,697,268","179,242,242","210,356,603",,
Spot Month Movement:,,
SPI 200,4249.0,4216.0,4222.0,4358.0,4349.0,,
90 Day Bank Bills,95.440,95.440,95.580,95.450,95.480,,
6% 3 Year C'wlth Bonds,96.090,96.070,96.260,96.110,96.040,,
6% 10 Year C'wlth Bonds,95.470,95.460,95.595,95.475,95.425,,
,
