Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-01-09T16:30:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 31,Jan 4,Jan 5,Jan 6,Jan 7,,
Volume,,
Futures,"78,251","173,492","245,112","205,683","163,925",,
Options,164,915,"1,669","10,901","4,069",,
TOTAL,"78,415","174,407","246,781","216,584","167,994",,
Value ($'000),,
Futures,"28,134,042","90,421,806","140,794,084","77,888,191","60,901,765",,
Options,"19,396","102,464","190,967","1,137,192","415,199",,
TOTAL,"28,153,439","90,524,270","140,985,051","79,025,383","61,316,963",,
Spot Month Movement:,,
SPI 200,4730.0,4736.0,4714.0,4712.0,4693.0,,
90 Day Bank Bills,94.930,94.940,94.960,94.950,94.950,,
6% 3 Year C'wlth Bonds,94.700,94.720,94.790,94.780,94.790,,
6% 10 Year C'wlth Bonds,94.435,94.445,94.460,94.405,94.365,,
,
