Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-12-11T16:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,,
Volume,,
Futures,"253,016","426,074","382,297","352,943","370,637",,
Options,"3,826","7,461","9,923","4,112","6,143",,
TOTAL,"256,842","433,535","392,220","357,055","376,780",,
Value ($'000),,
Futures,"130,860,012","335,338,899","235,961,308","160,168,279","147,395,247",,
Options,"399,510","756,762","1,037,383","418,244","656,430",,
TOTAL,"131,259,522","336,095,660","236,998,691","160,586,523","148,051,677",,
Spot Month Movement:,,
SPI 200,4318.0,4268.0,4308.0,4283.0,4189.0,,
90 Day Bank Bills,95.460,95.520,95.510,95.520,95.520,,
6% 3 Year C'wlth Bonds,96.750,96.880,96.800,96.840,96.915,,
6% 10 Year C'wlth Bonds,96.000,96.040,96.000,96.040,96.160,,
,
