Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-08-16T13:45:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Aug 11,Aug 12,Aug 13,Aug 14,Aug 15,,
Volume,,
Futures,"380,506","389,593","305,015","488,645","265,182",,
Options,"9,934","7,185","7,300","15,857","9,294",,
TOTAL,"390,440","396,778","312,315","504,502","274,476",,
Value ($'000),,
Futures,"154,574,239","181,914,993","95,968,213","178,850,117","88,434,593",,
Options,"1,046,674","771,332","792,910","1,649,510","983,576",,
TOTAL,"155,620,913","182,686,325","96,761,123","180,499,628","89,418,169",,
Spot Month Movement:,,
SPI 200,5394.0,5470.0,5458.0,5494.0,5506.0,,
90 Day Bank Bills,97.400,97.390,97.380,97.390,97.380,,
6% 3 Year C'wlth Bonds,97.400,97.380,97.360,97.420,97.400,,
6% 10 Year C'wlth Bonds,96.600,96.585,96.555,96.620,96.620,,
,
