Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-12-12T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 7,Dec 8,Dec 9,Dec 10,Dec 11,,
Volume,,
Futures,"458,180","443,146","1,067,744","2,172,598","1,536,746",,
Options,"2,950","5,048","12,780","19,820","18,103",,
TOTAL,"461,130","448,194","1,080,524","2,192,418","1,554,849",,
Value ($'000),,
Futures,"178,385,710","186,097,854","256,460,795","482,275,615","289,713,570",,
Options,"292,436","566,618","1,352,864","2,046,386","1,809,440",,
TOTAL,"178,678,146","186,664,472","257,813,660","484,322,001","291,523,010",,
Spot Month Movement:,,
SPI 200,5149.0,5109.0,5081.0,5038.0,5021.0,,
90 Day Bank Bills,97.720,97.720,97.660,97.630,97.630,,
6% 3 Yr C'wlth Bonds,97.820,97.880,97.900,97.810,97.825,,
6% 10 Yr C'wlth Bonds,97.0200,97.1350,97.1525,97.1175,97.1150,,
,
