Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-09-16T19:30:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Sep 10,Sep 11,Sep 12,Sep 13,Sep 14,,
Volume,,
Futures,"301,873","735,856","845,519","1,197,283","859,221",,
Options,"11,256","14,848","14,572","15,793","23,503",,
TOTAL,"313,129","750,704","860,091","1,213,076","882,724",,
Value ($'000),,
Futures,"161,903,714","221,166,927","222,993,496","239,698,280","220,395,172",,
Options,"1,135,585","1,493,767","1,558,925","1,634,258","2,433,739",,
TOTAL,"163,039,299","222,660,694","224,552,422","241,332,538","222,828,911",,
Spot Month Movement:,,
SPI 200,4331.0,4324.0,4364.0,4348.0,4392.0,,
90 Day Bank Bills,96.450,96.430,96.440,96.440,96.440,,
6% 3 Year C'wlth Bonds,97.540,97.535,97.420,97.390,97.300,,
6% 10 Year C'wlth Bonds,96.965,96.975,96.915,96.865,96.810,,
,
