Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2011-12-31T20:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 19,Dec 20,Dec 21,Dec 22,Dec 23,,
Volume,,
Futures,"175,790","137,151","193,742","152,114","88,789",,
Options,"2,793","2,809","3,005","4,845",467,,
TOTAL,"178,583","139,960","196,747","156,959","89,256",,
Value ($'000),,
Futures,"72,534,905","68,477,082","96,322,191","63,170,292","66,822,783",,
Options,"268,431","501,715","387,498","497,856","48,192",,
TOTAL,"72,803,336","68,978,798","96,709,690","63,668,148","66,870,975",,
Spot Month Movement:,,
SPI 200,4047.0,4039.0,4111.0,4083.0,4131.0,,
90 Day Bank Bills,96.280,96.270,96.180,96.180,96.120,,
6% 3 Year C'wlth Bonds,97.070,97.050,96.950,96.950,96.930,,
6% 10 Year C'wlth Bonds,96.230,96.230,96.165,96.205,96.215,,
,
