Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-05-30T13:15:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,May 25,May 26,May 27,May 28,May 29,,
Volume,,
Futures,"181,538","152,672","316,888","526,066","524,534",,
Options,"4,765","3,790","8,229","8,115","11,633",,
TOTAL,"186,303","156,462","325,117","534,181","536,167",,
Value ($'000),,
Futures,"66,627,040","53,918,335","91,933,782","250,142,144","239,157,105",,
Options,"578,850","380,633","938,776","828,181","1,209,956",,
TOTAL,"67,205,890","54,298,968","92,872,558","250,970,325","240,367,061",,
Spot Month Movement:,,
SPI 200,5726.0,5778.0,5740.0,5729.0,5778.0,,
90 Day Bank Bills,97.860,97.850,97.860,97.860,97.870,,
6% 3 Year C'wlth Bonds,97.940,97.930,97.960,98.040,98.100,,
6% 10 Year C'wlth Bonds,97.0900,97.0850,97.1650,97.2250,97.2750,,
,
