Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-10-05T13:45:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Sep 30,Oct 1,Oct 2,Oct 3,Oct 4,,
Volume,,
Futures,"358,519","426,625","326,856","264,809","402,023",,
Options,"13,107","15,426","13,254","15,655","15,982",,
TOTAL,"371,626","442,051","340,110","280,464","418,005",,
Value ($'000),,
Futures,"174,140,107","249,054,252","128,130,547","112,660,252","128,503,787",,
Options,"1,361,354","1,556,563","1,387,356","1,596,414","1,737,285",,
TOTAL,"175,501,461","250,610,815","129,517,903","114,256,666","130,241,073",,
Spot Month Movement:,,
SPI 200,5223.0,5209.0,5212.0,5230.0,5205.0,,
90 Day Bank Bills,97.510,97.470,97.460,97.460,97.450,,
6% 3 Year C'wlth Bonds,97.140,97.070,97.060,97.060,96.990,,
6% 10 Year C'wlth Bonds,96.140,96.100,96.100,96.100,96.010,,
,
