Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-07-13T16:45:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jul 8,Jul 9,Jul 10,Jul 11,Jul 12,,
Volume,,
Futures,"352,092","357,067","353,061","429,402","291,271",,
Options,"4,666","6,186","9,757","12,827","16,110",,
TOTAL,"356,758","363,253","362,818","442,229","307,381",,
Value ($'000),,
Futures,"163,814,882","186,530,465","170,811,167","200,912,322","136,114,402",,
Options,"500,999","714,312","1,090,083","1,391,468","1,741,976",,
TOTAL,"164,315,881","187,244,777","171,901,250","202,303,790","137,856,378",,
Spot Month Movement:,,
SPI 200,4777.0,4841.0,4868.0,4916.0,4936.0,,
90 Day Bank Bills,97.300,97.350,97.380,97.380,97.400,,
6% 3 Year C'wlth Bonds,97.110,97.170,97.230,97.300,97.300,,
6% 10 Year C'wlth Bonds,96.085,96.110,96.150,96.260,96.255,,
,
