Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-02-12T16:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Feb 6,Feb 7,Feb 8,Feb 9,Feb 10,,
Volume,,
Futures,"347,281","575,208","427,791","393,970","477,586",,
Options,"6,693","16,460","11,802","15,906","19,384",,
TOTAL,"353,974","591,668","439,593","409,876","496,970",,
Value ($'000),,
Futures,"177,821,519","408,800,523","185,489,444","141,793,030","209,670,219",,
Options,"709,442","1,673,739","1,325,195","1,855,394","2,196,509",,
TOTAL,"178,530,960","410,474,262","186,814,639","143,648,425","211,866,728",,
Spot Month Movement:,,
SPI 200,4256.0,4247.0,4257.0,4255.0,4218.0,,
90 Day Bank Bills,95.810,95.700,95.660,95.650,95.720,,
6% 3 Year C'wlth Bonds,96.680,96.530,96.480,96.400,96.480,,
6% 10 Year C'wlth Bonds,96.110,96.015,95.960,95.885,95.940,,
,
