Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-03-11T16:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Mar 5,Mar 6,Mar 7,Mar 8,Mar 9,,
Volume,,
Futures,"239,288","455,448","495,673","399,090","389,391",,
Options,"11,321","11,585","15,097","16,795","16,696",,
TOTAL,"250,609","467,033","510,770","415,885","406,087",,
Value ($'000),,
Futures,"107,734,869","279,261,403","255,107,255","172,961,262","147,646,735",,
Options,"1,140,622","1,172,324","1,559,381","1,721,991","1,681,372",,
TOTAL,"108,875,490","280,433,727","256,666,636","174,683,253","149,328,106",,
Spot Month Movement:,,
SPI 200,4268.0,4210.0,4141.0,4165.0,4216.0,,
90 Day Bank Bills,95.540,95.530,95.540,95.540,95.540,,
6% 3 Year C'wlth Bonds,96.290,96.360,96.450,96.440,96.370,,
6% 10 Year C'wlth Bonds,95.915,95.945,95.990,96.000,95.940,,
,
