Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-02-15T14:00:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,,
Volume,,
Futures,"377,357","375,374","472,650","549,426","407,637",,
Options,"18,855","25,771","40,495","37,470","23,001",,
TOTAL,"396,212","401,145","513,145","586,896","430,638",,
Value ($'000),,
Futures,"138,830,487","131,604,164","158,306,365","215,618,301","133,567,372",,
Options,"1,941,128","2,954,073","4,227,976","3,797,335","2,550,375",,
TOTAL,"140,771,616","134,558,236","162,534,341","219,415,636","136,117,747",,
Spot Month Movement:,,
SPI 200,5169.0,5203.0,5263.0,5263.0,5308.0,,
90 Day Bank Bills,97.390,97.390,97.390,97.390,97.390,,
6% 3 Year C'wlth Bonds,96.980,96.940,96.920,96.990,97.020,,
6% 10 Year C'wlth Bonds,95.915,95.875,95.835,95.880,95.950,,
,
