Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-11-29T14:30:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 24,Nov 25,Nov 26,Nov 27,Nov 28,,
Volume,,
Futures,"233,922","405,653","471,677","452,208","313,804",,
Options,"4,220","7,164","9,984","14,843","8,403",,
TOTAL,"238,142","412,817","481,661","467,051","322,207",,
Value ($'000),,
Futures,"113,930,388","198,951,928","210,435,255","223,558,698","137,435,907",,
Options,"472,456","778,245","1,035,579","1,509,389","885,117",,
TOTAL,"114,402,844","199,730,173","211,470,834","225,068,088","138,321,024",,
Spot Month Movement:,,
SPI 200,5354.0,5350.0,5407.0,5414.0,5338.0,,
90 Day Bank Bills,97.260,97.270,97.270,97.260,97.260,,
6% 3 Year C'wlth Bonds,97.460,97.490,97.560,97.550,97.600,,
6% 10 Year C'wlth Bonds,96.7250,96.7800,96.8500,96.8700,96.9500,,
,
