Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-06-07T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jun 2,Jun 3,Jun 4,Jun 5,Jun 6,,
Volume,,
Futures,"275,491","458,139","456,456","327,852","331,780",,
Options,"9,694","21,956","19,555","13,513","40,528",,
TOTAL,"285,185","480,095","476,011","341,365","372,308",,
Value ($'000),,
Futures,"117,684,573","181,238,129","140,297,948","97,063,152","100,786,559",,
Options,"1,028,977","2,207,717","2,032,035","1,433,140","4,086,264",,
TOTAL,"118,713,550","183,445,846","142,329,984","98,496,292","104,872,823",,
Spot Month Movement:,,
SPI 200,5526.0,5482.0,5445.0,5442.0,5461.0,,
90 Day Bank Bills,97.330,97.320,97.320,97.320,97.320,,
6% 3 Year C'wlth Bonds,97.240,97.220,97.160,97.170,97.170,,
6% 10 Year C'wlth Bonds,96.335,96.285,96.225,96.230,96.230,,
,
