Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-10-19T14:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Oct 14,Oct 15,Oct 16,Oct 17,Oct 18,,
Volume,,
Futures,"359,596","449,594","694,298","506,766","420,821",,
Options,"9,657","8,636","18,392","23,903","16,783",,
TOTAL,"369,253","458,230","712,690","530,669","437,604",,
Value ($'000),,
Futures,"178,863,145","249,688,958","285,951,933","228,121,738","199,248,855",,
Options,"994,198","912,747","1,898,654","2,473,203","1,778,173",,
TOTAL,"179,857,344","250,601,705","287,850,587","230,594,941","201,027,027",,
Spot Month Movement:,,
SPI 200,5207.0,5249.0,5252.0,5275.0,5321.0,,
90 Day Bank Bills,97.430,97.410,97.420,97.430,97.430,,
6% 3 Year C'wlth Bonds,96.900,96.810,96.800,96.900,96.910,,
6% 10 Year C'wlth Bonds,95.920,95.835,95.795,95.900,95.920,,
,
