Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-05-08T16:30:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,May 2,May 3,May 4,May 5,May 6,,
Volume,,
Futures,"305,958","483,215","487,457","397,932","709,365",,
Options,"2,771","14,860","14,768","28,678","29,630",,
TOTAL,"308,729","498,075","502,225","426,610","738,995",,
Value ($'000),,
Futures,"210,186,761","398,911,427","323,643,879","233,674,631","427,008,324",,
Options,"307,222","1,512,849","1,563,318","2,954,317","3,039,799",,
TOTAL,"210,493,983","400,424,276","325,207,197","236,628,948","430,048,123",,
Spot Month Movement:,,
SPI 200,4819.0,4784.0,4725.0,4752.0,4743.0,,
90 Day Bank Bills,94.990,95.020,94.980,95.000,94.910,,
6% 3 Year C'wlth Bonds,94.870,94.910,94.900,94.950,94.850,,
6% 10 Year C'wlth Bonds,94.550,94.590,94.595,94.620,94.565,,
,
