Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2010-10-03T18:05:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Sep 27,Sep 28,Sep 29,Sep 30,Oct 1,,
Volume,,
Futures,"199,269","213,229","255,838","358,018","304,470",,
Options,"3,998","12,789","10,549","25,268","14,795",,
TOTAL,"203,267","226,018","266,387","383,286","319,265",,
Value ($'000),,
Futures,"105,513,120","125,473,598","122,640,417","197,538,975","193,438,425",,
Options,"400,653","1,295,998","1,074,001","2,571,347","1,480,895",,
TOTAL,"105,913,773","126,769,596","123,714,418","200,110,321","194,919,320",,
Spot Month Movement:,,
SPI 200,4704.0,4698.0,4673.0,4600.0,4586.0,,
90 Day Bank Bills,94.900,94.920,94.900,94.940,94.890,,
6% 3 Year C'wlth Bonds,95.050,95.110,95.100,95.180,95.110,,
6% 10 Year C'wlth Bonds,94.840,94.910,94.930,95.010,94.910,,
,
