Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-03-08T14:00:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Mar 3,Mar 4,Mar 5,Mar 6,Mar 7,,
Volume,,
Futures,"561,114","594,841",n/a,"448,333","396,865",,
Options,"24,561","39,772",–,"27,672","15,376",,
TOTAL,"585,675","634,613",–,"476,005","412,241",,
Value ($'000),,
Futures,"213,497,965","262,735,888",n/a,"212,882,693","141,633,518",,
Options,"2,517,635","4,083,129",–,"2,894,779","1,624,670",,
TOTAL,"216,015,599","266,819,017",–,"215,777,472","143,258,188",,
Spot Month Movement:,,
SPI 200,5389.0,5405.0,n/a,5441.0,5472.0,,
90 Day Bank Bills,97.390,97.380,–,97.370,97.370,,
6% 3 Year C'wlth Bonds,97.190,97.140,–,97.030,97.000,,
6% 10 Year C'wlth Bonds,96.080,96.055,–,95.955,95.890,,
,
