Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-11-02T14:15:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Oct 28,Oct 29,Oct 30,Oct 31,Nov 1,,
Volume,,
Futures,"174,930","346,197","361,056","559,984","394,960",,
Options,"7,563","8,493","28,525","29,848","17,523",,
TOTAL,"182,493","354,690","389,581","589,832","412,483",,
Value ($'000),,
Futures,"56,620,652","155,828,511","202,366,336","225,813,092","160,721,892",,
Options,"790,532","960,409","3,051,825","3,093,883","1,904,276",,
TOTAL,"57,411,185","156,788,920","205,418,160","228,906,974","162,626,168",,
Spot Month Movement:,,
SPI 200,5430.0,5408.0,5419.0,5416.0,5390.0,,
90 Day Bank Bills,97.420,97.430,97.430,97.420,97.410,,
6% 3 Year C'wlth Bonds,96.960,97.000,97.040,96.970,96.930,,
6% 10 Year C'wlth Bonds,96.030,96.055,96.070,96.020,95.975,,
,
