Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2010-12-26T18:30:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 20,Dec 21,Dec 22,Dec 23,Dec 24,,
Volume,,
Futures,"150,378","145,650","108,307","91,045","63,062",,
Options,"4,211","7,594","12,956","3,925",744,,
TOTAL,"154,589","153,244","121,263","94,970","63,806",,
Value ($'000),,
Futures,"52,138,921","76,839,787","66,054,363","30,579,078","33,110,369",,
Options,"455,587","812,699","1,328,023","456,060","75,281",,
TOTAL,"52,594,508","77,652,486","67,382,386","31,035,138","33,185,650",,
Spot Month Movement:,,
SPI 200,4729.0,4766.0,4769.0,4813.0,4784.0,,
90 Day Bank Bills,94.930,94.930,94.920,94.900,94.900,,
6% 3 Year C'wlth Bonds,94.740,94.690,94.650,94.610,94.610,,
6% 10 Year C'wlth Bonds,94.430,94.375,94.345,94.305,94.300,,
,
