Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-11-28T13:30:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 23,Nov 24,Nov 25,Nov 26,Nov 27,,
Volume,,
Futures,"323,738","298,592","462,058","402,577","252,660",,
Options,"1,082","5,521","17,576","11,821","1,399",,
TOTAL,"324,820","304,113","479,634","414,398","254,059",,
Value ($'000),,
Futures,"136,011,611","94,573,827","169,242,701","141,873,254","96,156,028",,
Options,"121,220","570,531","1,895,015","1,233,311","146,453",,
TOTAL,"136,132,830","95,144,358","171,137,716","143,106,565","96,302,480",,
Spot Month Movement:,,
SPI 200,5285.0,5230.0,5205.0,5226.0,5207.0,,
90 Day Bank Bills,97.780,97.770,97.770,97.770,97.770,,
6% 3 Yr C'wlth Bonds,97.830,97.860,97.890,97.930,97.910,,
6% 10 Yr C'wlth Bonds,97.0300,97.0500,97.0950,97.1450,97.1250,,
,
