Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-12-13T14:15:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 8,Dec 9,Dec 10,Dec 11,Dec 12,,
Volume,,
Futures,"439,937","907,552","1,544,543","1,844,560","802,792",,
Options,"14,010","12,974","7,996","10,327","4,588",,
TOTAL,"453,947","920,526","1,552,539","1,854,887","807,380",,
Value ($'000),,
Futures,"195,273,131","279,887,114","326,621,602","345,780,214","253,883,617",,
Options,"1,451,502","1,376,657","912,166","1,163,016","550,644",,
TOTAL,"196,724,633","281,263,771","327,533,768","346,943,230","254,434,261",,
Spot Month Movement:,,
SPI 200,5390.0,5284.0,5251.0,5232.0,5217.0,,
90 Day Bank Bills,97.280,97.280,97.280,97.270,97.270,,
6% 3 Year C'wlth Bonds,97.650,97.695,97.735,97.765,97.700,,
6% 10 Year C'wlth Bonds,96.8900,96.9475,97.0475,97.1150,97.0800,,
,
