Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-10-11T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Oct 6,Oct 7,Oct 8,Oct 9,Oct 10,,
Volume,,
Futures,"226,335","356,195","557,547","592,415","540,815",,
Options,"10,444","5,238","16,259","16,548","9,760",,
TOTAL,"236,779","361,433","573,806","608,963","550,575",,
Value ($'000),,
Futures,"82,427,506","146,892,093","192,508,266","233,954,945","207,730,432",,
Options,"1,093,053","547,426","1,677,803","1,699,565","1,101,949",,
TOTAL,"83,520,559","147,439,518","194,186,069","235,654,510","208,832,380",,
Spot Month Movement:,,
SPI 200,5279.0,5258.0,5225.0,5279.0,5158.0,,
90 Day Bank Bills,97.320,97.310,97.320,97.320,97.320,,
6% 3 Year C'wlth Bonds,97.300,97.310,97.330,97.370,97.400,,
6% 10 Year C'wlth Bonds,96.535,96.575,96.605,96.665,96.640,,
,
