Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-08-07T16:00:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Aug 1,Aug 2,Aug 3,Aug 4,Aug 5,,
Volume,,
Futures,"270,331","681,826","1,067,058","583,721","826,177",,
Options,"2,778","6,247","4,631","16,892","10,857",,
TOTAL,"273,109","688,073","1,071,689","600,613","837,034",,
Value ($'000),,
Futures,"179,152,852","665,363,559","616,208,793","254,840,804","470,239,756",,
Options,"307,359","642,229","512,241","1,744,799","1,993,669",,
TOTAL,"179,460,211","666,005,788","616,721,033","256,585,603","472,233,425",,
Spot Month Movement:,,
SPI 200,4470.0,4395.0,4286.0,4242.0,4050.0,,
90 Day Bank Bills,94.990,95.150,95.260,95.170,95.640,,
6% 3 Year C'wlth Bonds,95.500,95.770,95.980,95.860,96.320,,
6% 10 Year C'wlth Bonds,95.100,95.265,95.365,95.270,95.530,,
,
