Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-11-18T20:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 12,Nov 13,Nov 14,Nov 15,Nov 16,,
Volume,,
Futures,"231,258","332,957","304,403","356,896","254,113",,
Options,"11,104","10,778","12,855","18,870","19,888",,
TOTAL,"242,362","343,735","317,258","375,766","274,001",,
Value ($'000),,
Futures,"83,900,656","134,111,777","122,864,173","129,865,524","91,787,280",,
Options,"1,110,446","1,144,343","1,281,245","1,915,295","2,039,311",,
TOTAL,"85,011,102","135,256,120","124,145,418","131,780,820","93,826,591",,
Spot Month Movement:,,
SPI 200,4457.0,4389.0,4400.0,4351.0,4348.0,,
90 Day Bank Bills,96.800,96.820,96.800,96.820,96.800,,
6% 3 Year C'wlth Bonds,97.460,97.490,97.470,97.530,97.520,,
6% 10 Year C'wlth Bonds,97.005,97.025,97.020,97.060,97.045,,
,
