Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-07-18T13:45:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jul 13,Jul 14,Jul 15,Jul 16,Jul 17,,
Volume,,
Futures,"343,256","403,359","356,158","443,042","270,295",,
Options,"5,117","5,878","4,842","7,283","4,147",,
TOTAL,"348,373","409,237","361,000","450,325","274,442",,
Value ($'000),,
Futures,"138,155,355","146,746,223","124,043,939","184,398,086","84,788,324",,
Options,"510,756","642,426","491,116","728,813","420,387",,
TOTAL,"138,666,111","147,388,649","124,535,055","185,126,899","85,208,711",,
Spot Month Movement:,,
SPI 200,5405.0,5518.0,5584.0,5622.0,5613.0,,
90 Day Bank Bills,97.890,97.880,97.880,97.900,97.890,,
6% 3 Year C'wlth Bonds,97.990,97.950,97.940,97.990,97.980,,
6% 10 Year C'wlth Bonds,96.9600,96.9350,96.9250,96.9850,97.0100,,
,
