Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2012-04-14T20:30:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Apr 5,Apr 10,Apr 11,Apr 12,Apr 13,,
Volume,,
Futures,"265,313","330,644","416,958","399,335","357,138",,
Options,"12,164","10,147","17,469","22,053","18,035",,
TOTAL,"277,477","340,791","434,427","421,388","375,173",,
Value ($'000),,
Futures,"120,308,980","147,376,151","167,536,893","200,460,863","129,046,196",,
Options,"1,243,205","1,019,581","1,756,056","2,244,692","1,941,664",,
TOTAL,"121,552,185","148,395,732","169,292,948","202,705,555","130,987,860",,
Spot Month Movement:,,
SPI 200,4335.0,4307.0,4255.0,4295.0,4331.0,,
90 Day Bank Bills,95.950,95.990,95.980,95.920,95.950,,
6% 3 Year C'wlth Bonds,96.590,96.760,96.780,96.690,96.770,,
6% 10 Year C'wlth Bonds,95.995,96.170,96.170,96.150,96.225,,
,
