Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-07-17T16:30:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jul 11,Jul 12,Jul 13,Jul 14,Jul 15,,
Volume,,
Futures,"371,156","621,860","544,679","430,183","452,600",,
Options,"28,622","13,765","19,952","18,367","17,432",,
TOTAL,"399,778","635,625","564,631","448,550","470,032",,
Value ($'000),,
Futures,"182,180,089","355,637,899","237,342,667","184,624,205","210,371,022",,
Options,"2,868,900","3,181,978","2,040,003","1,846,161","1,747,991",,
TOTAL,"185,048,989","358,819,877","239,382,669","186,470,365","212,119,013",,
Spot Month Movement:,,
SPI 200,4560.0,4466.0,4488.0,4467.0,4441.0,,
90 Day Bank Bills,95.180,95.280,95.270,95.270,95.320,,
6% 3 Year C'wlth Bonds,95.370,95.550,95.520,95.550,95.630,,
6% 10 Year C'wlth Bonds,94.885,95.050,95.030,95.075,95.085,,
,
