Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-10-12T14:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Oct 7,Oct 8,Oct 9,Oct 10,Oct 11,,
Volume,,
Futures,"164,355","300,438","468,286","667,436","534,619",,
Options,"6,551","7,945","13,378","18,318","18,959",,
TOTAL,"170,906","308,383","481,664","685,754","553,578",,
Value ($'000),,
Futures,"52,494,556","155,006,090","204,830,597","396,780,430","251,789,412",,
Options,"667,666","832,814","1,419,654","1,859,775","1,973,755",,
TOTAL,"53,162,222","155,838,905","206,250,251","398,640,205","253,763,167",,
Spot Month Movement:,,
SPI 200,5157.0,5142.0,5140.0,5133.0,5229.0,,
90 Day Bank Bills,97.440,97.440,97.430,97.400,97.410,,
6% 3 Year C'wlth Bonds,96.950,96.950,96.930,96.850,96.870,,
6% 10 Year C'wlth Bonds,95.950,95.965,95.955,95.880,95.910,,
,
