Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-04-25T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Apr 20,Apr 21,Apr 22,Apr 23,Apr 24,,
Volume,,
Futures,"454,216","383,223","476,168","559,493","330,129",,
Options,"13,141","8,674","9,498","15,959","5,924",,
TOTAL,"467,357","391,897","485,666","575,452","336,053",,
Value ($'000),,
Futures,"208,084,261","247,244,313","324,337,539","227,075,409","114,823,491",,
Options,"1,314,536","876,530","986,202","1,752,563","611,081",,
TOTAL,"209,398,796","248,120,842","325,323,742","228,827,971","115,434,573",,
Spot Month Movement:,,
SPI 200,5827.0,5877.0,5824.0,5831.0,5938.0,,
90 Day Bank Bills,97.860,97.880,97.840,97.830,97.840,,
6% 3 Year C'wlth Bonds,98.200,98.210,98.150,98.110,98.100,,
6% 10 Year C'wlth Bonds,97.6050,97.6100,97.5650,97.4800,97.4700,,
,
