Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-09-09T17:00:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Sep 3,Sep 4,Sep 5,Sep 6,Sep 7,,
Volume,,
Futures,"353,988","507,171","458,835","442,062","356,673",,
Options,"15,818","26,685","14,581","27,885","19,778",,
TOTAL,"369,806","533,856","473,416","469,947","376,451",,
Value ($'000),,
Futures,"164,863,725","362,472,322","187,285,265","221,486,364","147,435,558",,
Options,"1,640,376","2,682,583","1,535,786","2,816,317","1,994,917",,
TOTAL,"166,504,101","365,154,905","188,821,051","224,302,681","149,430,475",,
Spot Month Movement:,,
SPI 200,4336.0,4313.0,4282.0,4317.0,4331.0,,
90 Day Bank Bills,96.480,96.450,96.480,96.440,96.430,,
6% 3 Year C'wlth Bonds,97.600,97.590,97.650,97.580,97.460,,
6% 10 Year C'wlth Bonds,97.020,97.000,97.055,96.995,96.890,,
,
