Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-07-25T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jul 20,Jul 21,Jul 22,Jul 23,Jul 24,,
Volume,,
Futures,"267,455","391,133","464,316","357,586","413,408",,
Options,"3,762","1,582","5,156","1,466","2,373",,
TOTAL,"271,217","392,715","469,472","359,052","415,781",,
Value ($'000),,
Futures,"89,030,402","145,990,330","249,016,602","154,433,197","207,423,666",,
Options,"382,670","200,881","536,464","159,094","178,336",,
TOTAL,"89,413,072","146,191,212","249,553,066","154,592,290","207,602,001",,
Spot Month Movement:,,
SPI 200,5642.0,5646.0,5552.0,5533.0,5516.0,,
90 Day Bank Bills,97.890,97.890,97.890,97.900,97.920,,
6% 3 Yr C'wlth Bonds,97.970,97.970,98.010,98.030,98.100,,
6% 10 Yr C'wlth Bonds,97.0400,97.0250,97.0650,97.1050,97.1500,,
,
