Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-06-20T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jun 15,Jun 16,Jun 17,Jun 18,Jun 19,,
Volume,,
Futures,"545,441","595,041","427,393","505,388","433,962",,
Options,"3,736","3,424","4,207","4,453","6,392",,
TOTAL,"549,177","598,465","431,600","509,841","440,354",,
Value ($'000),,
Futures,"119,946,306","153,643,952","133,585,997","174,345,041","136,171,505",,
Options,"382,906","353,711","480,853","445,226","668,430",,
TOTAL,"120,329,212","153,997,662","134,066,850","174,790,266","136,839,936",,
Spot Month Movement:,,
SPI 200,5543.0,5527.0,5585.0,5578.0,5577.3,,
90 Day Bank Bills,97.890,97.890,97.880,97.900,97.910,,
6% 3 Year C'wlth Bonds,97.950,97.940,97.960,98.070,98.100,,
6% 10 Year C'wlth Bonds,97.0025,96.9500,96.9650,97.1100,97.0750,,
,
