Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-04-29T18:00:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Apr 23,Apr 24,Apr 25,Apr 26,Apr 27,,
Volume,,
Futures,"251,293","581,320","104,810","320,530","398,006",,
Options,"13,271","17,383",0,"14,436","15,453",,
TOTAL,"264,564","598,703","104,810","334,966","413,459",,
Value ($'000),,
Futures,"154,506,051","376,228,401","79,271,815","154,928,988","198,452,296",,
Options,"1,344,644","1,756,014",0,"1,476,353","1,569,201",,
TOTAL,"155,850,695","377,984,416","79,271,815","156,405,342","200,021,497",,
Spot Month Movement:,,
SPI 200,4358.0,4352.0,4388.0,4381.0,4369.0,,
90 Day Bank Bills,96.010,96.110,96.110,96.110,96.130,,
6% 3 Year C'wlth Bonds,96.860,96.980,96.940,96.940,97.030,,
6% 10 Year C'wlth Bonds,96.295,96.385,96.325,96.325,96.405,,
,
