Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-12-19T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 14,Dec 15,Dec 16,Dec 17,Dec 18,,
Volume,,
Futures,"831,738","745,838","513,338","331,267","298,772",,
Options,"4,925","5,921","5,402","15,950","2,329",,
TOTAL,"836,663","751,759","518,740","347,217","301,101",,
Value ($'000),,
Futures,"145,270,703","199,992,988","139,660,233","129,573,095","98,516,497",,
Options,"552,352","631,466","598,132","1,644,572","254,575",,
TOTAL,"145,823,055","200,624,454","140,258,365","131,217,667","98,771,072",,
Spot Month Movement:,,
SPI 200,4921.0,4904.0,5023.0,5093.0,5092.7,,
90 Day Bank Bills,97.780,97.790,97.780,97.780,97.790,,
6% 3 Yr C'wlth Bonds,97.870,97.840,97.840,97.870,97.930,,
6% 10 Yr C'wlth Bonds,97.1475,97.1250,97.0650,97.0850,97.1700,,
,
