Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-02-14T14:00:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Feb 9,Feb 10,Feb 11,Feb 12,Feb 13,,
Volume,,
Futures,"451,277","361,890","449,526","583,253","413,674",,
Options,"14,451","10,953","23,920","10,909","13,629",,
TOTAL,"465,728","372,843","473,446","594,162","427,303",,
Value ($'000),,
Futures,"202,536,047","132,934,355","204,150,470","325,630,594","186,919,581",,
Options,"1,452,699","1,123,604","2,583,783","1,144,274","1,490,224",,
TOTAL,"203,988,746","134,057,960","206,734,252","326,774,868","188,409,805",,
Spot Month Movement:,,
SPI 200,5760.0,5753.0,5724.0,5717.0,5822.0,,
90 Day Bank Bills,97.670,97.690,97.700,97.770,97.760,,
6% 3 Year C'wlth Bonds,98.050,98.050,98.050,98.140,98.160,,
6% 10 Year C'wlth Bonds,97.4850,97.4800,97.4450,97.5000,97.5350,,
,
