Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-08-02T13:30:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jul 28,Jul 29,Jul 30,Jul 31,Aug 1,,
Volume,,
Futures,"249,714","299,282","391,611","512,370","353,569",,
Options,"3,612","9,041","11,794","21,971","7,766",,
TOTAL,"253,326","308,323","403,405","534,341","361,335",,
Value ($'000),,
Futures,"111,870,892","101,225,449","151,643,312","188,345,733","107,825,698",,
Options,"405,988","927,363","1,250,564","2,259,309","825,865",,
TOTAL,"112,276,879","102,152,813","152,893,876","190,605,041","108,651,563",,
Spot Month Movement:,,
SPI 200,5529.0,5539.0,5578.0,5570.0,5499.0,,
90 Day Bank Bills,97.370,97.370,97.370,97.370,97.370,,
6% 3 Year C'wlth Bonds,97.350,97.320,97.350,97.300,97.280,,
6% 10 Year C'wlth Bonds,96.580,96.535,96.580,96.495,96.485,,
,
