Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-08-15T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Aug 10,Aug 11,Aug 12,Aug 13,Aug 14,,
Volume,,
Futures,"275,039","486,028","571,921","577,399","297,494",,
Options,"5,670","8,043","4,958","11,635","2,945",,
TOTAL,"280,709","494,071","576,879","589,034","300,439",,
Value ($'000),,
Futures,"64,894,308","176,947,938","226,725,704","243,965,808","103,088,619",,
Options,"612,901","885,987","508,399","1,241,155","307,352",,
TOTAL,"65,507,209","177,833,925","227,234,103","245,206,962","103,395,971",,
Spot Month Movement:,,
SPI 200,5445.0,5406.0,5299.0,5317.0,5291.0,,
90 Day Bank Bills,97.880,97.880,97.900,97.890,97.890,,
6% 3 Yr C'wlth Bonds,98.020,98.030,98.120,98.060,98.030,,
6% 10 Yr C'wlth Bonds,97.1900,97.1900,97.3050,97.2300,97.1900,,
,
