Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-03-27T16:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,,
Volume,,
Futures,"317,707","350,586","267,368","267,616","208,702",,
Options,"26,580","51,715","21,553","17,128","15,176",,
TOTAL,"344,287","402,301","288,921","284,744","223,878",,
Value ($'000),,
Futures,"161,038,985","184,116,373","153,061,892","115,293,361","71,099,287",,
Options,"3,118,055","5,264,189","2,188,677","1,722,413","1,585,261",,
TOTAL,"164,157,040","189,380,561","155,250,570","117,015,775","72,684,547",,
Spot Month Movement:,,
SPI 200,4664.0,4676.0,4670.0,4722.0,4773.0,,
90 Day Bank Bills,95.110,95.110,95.110,95.120,95.120,,
6% 3 Year C'wlth Bonds,94.980,95.000,94.990,95.020,94.990,,
6% 10 Year C'wlth Bonds,94.550,94.570,94.555,94.575,94.550,,
,
