Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-02-19T17:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,,
Volume,,
Futures,"414,408","365,391","332,825","518,938","333,987",,
Options,"9,955","13,846","36,559","17,432","18,731",,
TOTAL,"424,363","379,237","369,384","536,370","352,718",,
Value ($'000),,
Futures,"188,252,536","161,862,067","150,237,735","270,778,171","137,988,705",,
Options,"1,001,258","1,510,955","3,682,257","1,744,340","1,878,904",,
TOTAL,"189,253,794","163,373,022","153,919,993","272,522,511","139,867,609",,
Spot Month Movement:,,
SPI 200,4245.0,4209.0,4220.0,4141.0,4166.0,,
90 Day Bank Bills,95.710,95.720,95.670,95.640,95.610,,
6% 3 Year C'wlth Bonds,96.460,96.490,96.420,96.480,96.370,,
6% 10 Year C'wlth Bonds,95.915,95.955,95.920,96.020,95.895,,
,
