Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-12-20T13:30:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 15,Dec 16,Dec 17,Dec 18,Dec 19,,
Volume,,
Futures,"509,076","576,870","586,427","363,663","284,666",,
Options,"3,932","7,569","7,347","7,640","7,343",,
TOTAL,"513,008","584,439","593,774","371,303","292,009",,
Value ($'000),,
Futures,"195,863,258","150,263,378","192,922,553","151,125,946","112,978,679",,
Options,"470,534","899,808","842,268","882,010","931,661",,
TOTAL,"196,333,791","151,163,185","193,764,821","152,007,956","113,910,340",,
Spot Month Movement:,,
SPI 200,5177.0,5154.0,5165.0,5191.0,5190.6,,
90 Day Bank Bills,97.490,97.480,97.500,97.470,97.460,,
6% 3 Year C'wlth Bonds,97.760,97.780,97.830,97.800,97.730,,
6% 10 Year C'wlth Bonds,97.1250,97.1200,97.2000,97.1300,97.0350,,
,
