Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2013-06-10T20:00:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jun 3,Jun 4,Jun 5,Jun 6,Jun 7,,
Volume,,
Futures,"396,655","585,820","558,205","552,911","631,596",,
Options,"16,281","26,010","32,012","16,570","24,351",,
TOTAL,"412,936","611,830","590,217","569,481","655,947",,
Value ($'000),,
Futures,"197,261,017","474,671,311","313,816,291","333,570,828","270,238,240",,
Options,"1,679,017","2,665,256","3,273,745","1,692,381","2,540,340",,
TOTAL,"198,940,034","477,336,567","317,090,037","335,263,210","272,778,580",,
Spot Month Movement:,,
SPI 200,4885.0,4898.0,4831.0,4783.0,4740.0,,
90 Day Bank Bills,97.230,97.200,97.220,97.240,97.240,,
6% 3 Year C'wlth Bonds,97.370,97.340,97.390,97.460,97.530,,
6% 10 Year C'wlth Bonds,96.580,96.560,96.610,96.660,96.745,,
,
