Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-01-16T16:30:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jan 10,Jan 11,Jan 12,Jan 13,Jan 14,,
Volume,,
Futures,"159,966","453,352","363,092","350,088","190,828",,
Options,"18,116","12,789","18,199","37,524","6,453",,
TOTAL,"178,082","466,141","381,291","387,612","197,281",,
Value ($'000),,
Futures,"59,325,401","289,607,106","196,567,452","132,454,738","82,442,957",,
Options,"1,819,355","1,296,015","1,840,819","3,770,522","679,874",,
TOTAL,"61,144,756","290,903,120","198,408,271","136,225,260","83,122,831",,
Spot Month Movement:,,
SPI 200,4702.0,4703.0,4714.0,4785.0,4790.0,,
90 Day Bank Bills,94.960,95.040,95.020,95.000,95.010,,
6% 3 Year C'wlth Bonds,94.850,95.000,94.960,94.860,94.870,,
6% 10 Year C'wlth Bonds,94.445,94.545,94.470,94.420,94.470,,
,
