Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-07-10T16:00:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jul 4,Jul 5,Jul 6,Jul 7,Jul 8,,
Volume,,
Futures,"381,199","234,105","314,480","376,701","275,347",,
Options,"25,749","17,813","18,848","30,046","23,970",,
TOTAL,"406,948","251,918","333,328","406,747","299,317",,
Value ($'000),,
Futures,"191,896,774","128,786,972","143,011,426","206,288,047","109,462,604",,
Options,"2,580,098","1,787,524","1,912,777","3,171,883","5,140,413",,
TOTAL,"194,476,872","130,574,496","144,924,203","209,459,930","114,603,018",,
Spot Month Movement:,,
SPI 200,4596.0,4590.0,4591.0,4585.0,4640.0,,
90 Day Bank Bills,95.150,95.170,95.160,95.130,95.130,,
6% 3 Year C'wlth Bonds,95.200,95.250,95.250,95.250,95.220,,
6% 10 Year C'wlth Bonds,94.770,94.770,94.780,94.790,94.755,,
,
