Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-02-09T20:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Feb 4,Feb 5,Feb 6,Feb 7,Feb 8,,
Volume,,
Futures,"422,071","518,668","408,879","416,677","351,411",,
Options,"40,224","31,490","29,660","28,533","21,988",,
TOTAL,"462,295","550,158","438,539","445,210","373,399",,
Value ($'000),,
Futures,"212,434,595","365,343,155","189,559,485","223,495,475","170,815,456",,
Options,"4,055,896","3,179,879","3,018,427","2,888,083","2,217,054",,
TOTAL,"216,490,491","368,523,034","192,577,912","226,383,558","173,032,510",,
Spot Month Movement:,,
SPI 200,4869.0,4844.0,4883.0,4894.0,4935.0,,
90 Day Bank Bills,97.070,97.070,97.090,97.100,97.100,,
6% 3 Year C'wlth Bonds,97.060,97.150,97.160,97.200,97.180,,
6% 10 Year C'wlth Bonds,96.435,96.530,96.500,96.555,96.550,,
,
