Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-09-05T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Aug 31,Sep 1,Sep 2,Sep 3,Sep 4,,
Volume,,
Futures,"458,821","446,688","495,351","369,974","352,907",,
Options,"6,353","13,088","13,480","8,575","4,802",,
TOTAL,"465,174","459,776","508,831","378,549","357,709",,
Value ($'000),,
Futures,"210,648,952","255,270,386","177,123,452","164,898,965","148,917,163",,
Options,"684,014","1,443,073","1,542,565","999,897","519,097",,
TOTAL,"211,332,966","256,713,459","178,666,017","165,898,863","149,436,260",,
Spot Month Movement:,,
SPI 200,5167.0,5059.0,5050.0,5005.0,5025.0,,
90 Day Bank Bills,97.900,97.890,97.890,97.880,97.890,,
6% 3 Yr C'wlth Bonds,98.230,98.230,98.200,98.220,98.260,,
6% 10 Yr C'wlth Bonds,97.3050,97.3300,97.2800,97.2850,97.3450,,
,
