Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2013-02-17T16:30:12+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,,
Volume,,
Futures,"258,095","377,752","356,198","410,536","342,540",,
Options,"9,443","20,455","17,148","16,910","25,810",,
TOTAL,"267,538","398,207","373,346","427,446","368,350",,
Value ($'000),,
Futures,"123,363,578","183,376,302","198,673,445","190,132,632","126,194,549",,
Options,"957,784","2,074,111","1,732,543","1,716,211","2,629,550",,
TOTAL,"124,321,362","185,450,414","200,405,988","191,848,843","128,824,098",,
Spot Month Movement:,,
SPI 200,4919.0,4926.0,4956.0,4994.0,4995.0,,
90 Day Bank Bills,97.130,97.130,97.090,97.090,97.110,,
6% 3 Year C'wlth Bonds,97.230,97.220,97.160,97.090,97.140,,
6% 10 Year C'wlth Bonds,96.580,96.570,96.520,96.435,96.505,,
,
