Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2012-02-25T20:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,,
Volume,,
Futures,"338,434","369,625","298,603","268,807","282,622",,
Options,"14,831","26,381","16,146","12,025","15,401",,
TOTAL,"353,265","396,006","314,749","280,832","298,023",,
Value ($'000),,
Futures,"127,965,187","155,917,302","105,168,809","101,514,343","129,142,443",,
Options,"1,497,339","2,675,323","1,663,335","1,297,399","1,619,726",,
TOTAL,"129,462,526","158,592,625","106,832,144","102,811,741","130,762,168",,
Spot Month Movement:,,
SPI 200,4245.0,4273.0,4273.0,4260.0,4289.0,,
90 Day Bank Bills,95.620,95.640,95.640,95.630,95.600,,
6% 3 Year C'wlth Bonds,96.290,96.320,96.310,96.350,96.290,,
6% 10 Year C'wlth Bonds,95.820,95.850,95.850,95.905,95.850,,
,
