Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-11-16T14:30:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 11,Nov 12,Nov 13,Nov 14,Nov 15,,
Volume,,
Futures,"372,856","423,539","364,842","386,003","365,272",,
Options,"23,179","17,841","19,288","18,031","19,164",,
TOTAL,"396,035","441,380","384,130","404,034","384,436",,
Value ($'000),,
Futures,"140,632,532","163,880,303","169,327,107","123,523,864","122,434,343",,
Options,"2,357,513","1,836,474","2,000,258","1,872,786","2,026,273",,
TOTAL,"142,990,045","165,716,777","171,327,365","125,396,650","124,460,616",,
Spot Month Movement:,,
SPI 200,5401.0,5411.0,5336.0,5365.0,5409.0,,
90 Day Bank Bills,97.410,97.400,97.410,97.410,97.400,,
6% 3 Year C'wlth Bonds,96.840,96.800,96.840,96.890,96.910,,
6% 10 Year C'wlth Bonds,95.825,95.755,95.785,95.850,95.850,,
,
