Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-11-13T17:30:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 7,Nov 8,Nov 9,Nov 10,Nov 11,,
Volume,,
Futures,"216,540","252,236","256,332","367,995","260,450",,
Options,"4,647","7,291","9,518","2,458","3,051",,
TOTAL,"221,187","259,527","265,850","370,453","263,501",,
Value ($'000),,
Futures,"100,753,548","138,960,849","107,262,417","182,102,425","95,945,134",,
Options,"489,028","744,861","972,395","635,815","311,031",,
TOTAL,"101,242,577","139,705,709","108,234,812","182,738,241","96,256,165",,
Spot Month Movement:,,
SPI 200,4282.0,4282.0,4337.0,4264.0,4309.0,,
90 Day Bank Bills,95.530,95.560,95.540,95.620,95.600,,
6% 3 Year C'wlth Bonds,96.360,96.430,96.420,96.610,96.550,,
6% 10 Year C'wlth Bonds,95.700,95.760,95.750,95.890,95.840,,
,
