Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-06-28T13:45:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jun 23,Jun 24,Jun 25,Jun 26,Jun 27,,
Volume,,
Futures,"188,681","261,212","387,059","365,908","360,268",,
Options,"6,630","7,590","16,445","7,817","4,104",,
TOTAL,"195,311","268,802","403,504","373,725","364,372",,
Value ($'000),,
Futures,"65,898,503","89,967,110","186,576,551","142,983,975","152,267,141",,
Options,"701,658","831,961","1,665,515","831,632","451,351",,
TOTAL,"66,600,161","90,799,072","188,242,066","143,815,606","152,718,493",,
Spot Month Movement:,,
SPI 200,5409.0,5388.0,5353.0,5426.0,5416.0,,
90 Day Bank Bills,97.340,97.350,97.360,97.350,97.360,,
6% 3 Year C'wlth Bonds,97.200,97.250,97.290,97.290,97.320,,
6% 10 Year C'wlth Bonds,96.295,96.350,96.400,96.400,96.450,,
,
