Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-09-21T14:00:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Sep 16,Sep 17,Sep 18,Sep 19,Sep 20,,
Volume,,
Futures,"570,796","730,296","418,664","615,133","379,581",,
Options,"6,425","16,459","6,832","22,494","11,449",,
TOTAL,"577,221","746,755","425,496","637,627","391,030",,
Value ($'000),,
Futures,"206,539,404","279,408,426","143,213,480","339,343,723","177,870,278",,
Options,"688,189","1,691,533","804,646","2,327,068","1,190,325",,
TOTAL,"207,227,593","281,099,959","144,018,126","341,670,791","179,060,603",,
Spot Month Movement:,,
SPI 200,5255.0,5256.0,5244.0,5304.0,5303.6,,
90 Day Bank Bills,97.450,97.420,97.420,97.480,97.470,,
6% 3 Year C'wlth Bonds,97.080,96.900,96.890,97.050,97.010,,
6% 10 Year C'wlth Bonds,95.995,95.885,95.870,96.050,95.995,,
,
