Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2013-07-07T18:30:07+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jul 1,Jul 2,Jul 3,Jul 4,Jul 5,,
Volume,,
Futures,"346,344","373,532","439,831","360,448","229,176",,
Options,"7,311","12,050","14,630","6,526","6,087",,
TOTAL,"353,655","385,582","454,461","366,974","235,263",,
Value ($'000),,
Futures,"204,067,048","295,391,450","244,963,583","183,017,710","124,008,173",,
Options,"784,737","1,215,700","1,505,373","718,869","620,097",,
TOTAL,"204,851,785","296,607,150","246,468,955","183,736,579","124,628,270",,
Spot Month Movement:,,
SPI 200,4688.0,4789.0,4707.0,4748.0,4794.0,,
90 Day Bank Bills,97.340,97.340,97.370,97.340,97.300,,
6% 3 Year C'wlth Bonds,97.160,97.200,97.250,97.180,97.140,,
6% 10 Year C'wlth Bonds,96.165,96.250,96.245,96.195,96.170,,
,
