Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-12-23T18:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 17,Dec 18,Dec 19,Dec 20,Dec 21,,
Volume,,
Futures,"607,220","586,421","455,972","282,965","203,456",,
Options,971,"6,209","3,430","3,260","3,774",,
TOTAL,"608,191","592,630","459,402","286,225","207,230",,
Value ($'000),,
Futures,"172,307,759","139,401,521","104,819,571","99,248,448","73,795,049",,
Options,"98,005","664,763","359,047","327,003","383,000",,
TOTAL,"172,405,764","140,066,284","105,178,618","99,575,451","74,178,049",,
Spot Month Movement:,,
SPI 200,4573.0,4602.0,4626.0,4627.0,4626.7,,
90 Day Bank Bills,97.100,97.110,97.120,97.130,97.150,,
6% 3 Year C'wlth Bonds,97.185,97.220,97.220,97.250,97.280,,
6% 10 Year C'wlth Bonds,96.690,96.640,96.630,96.665,96.695,,
,
