Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-10-21T20:00:23+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Oct 15,Oct 16,Oct 17,Oct 18,Oct 19,,
Volume,,
Futures,"294,639","326,651","393,492","469,941","295,669",,
Options,"12,032","7,716","22,402","17,892","17,618",,
TOTAL,"306,671","334,367","415,894","487,833","313,287",,
Value ($'000),,
Futures,"148,620,829","174,211,026","149,357,913","184,460,956","128,876,128",,
Options,"1,653,224","824,071","2,328,041","1,991,264","1,803,661",,
TOTAL,"150,274,053","175,035,097","151,685,954","186,452,219","130,679,790",,
Spot Month Movement:,,
SPI 200,4481.0,4492.0,4535.0,4550.0,4567.0,,
90 Day Bank Bills,97.010,96.980,96.970,96.940,96.970,,
6% 3 Year C'wlth Bonds,97.660,97.640,97.550,97.460,97.490,,
6% 10 Year C'wlth Bonds,97.075,97.070,96.970,96.860,96.905,,
,
