Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2010-11-08T15:05:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 1,Nov 2,Nov 3,Nov 4,Nov 5,,
Volume,,
Futures,"243,964","652,305","330,266","334,720","282,214",,
Options,"9,393","21,658","25,759","36,301","16,144",,
TOTAL,"253,357","673,963","356,025","371,021","298,358",,
Value ($'000),,
Futures,"174,741,535","708,068,182","340,978,103","198,662,589","157,220,868",,
Options,"953,195","2,367,297","2,588,902","3,659,490","1,656,727",,
TOTAL,"175,694,730","710,435,479","343,567,004","202,322,079","158,877,594",,
Spot Month Movement:,,
SPI 200,4700.0,4701.0,4727.0,4757.0,4811.0,,
90 Day Bank Bills,95.100,94.980,94.970,94.970,94.960,,
6% 3 Year C'wlth Bonds,95.060,94.970,94.980,94.950,94.920,,
6% 10 Year C'wlth Bonds,94.740,94.720,94.725,94.750,94.730,,
,
