Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-08-17T15:15:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Aug 12,Aug 13,Aug 14,Aug 15,Aug 16,,
Volume,,
Futures,"236,346","267,360","489,983","343,329","442,150",,
Options,"9,331","15,184","18,680","12,163","11,760",,
TOTAL,"245,677","282,544","508,663","355,492","453,910",,
Value ($'000),,
Futures,"109,215,677","110,823,063","233,609,499","151,281,263","197,397,162",,
Options,"978,405","1,589,355","2,018,596","1,285,583","1,207,076",,
TOTAL,"110,194,082","112,412,418","235,628,096","152,566,845","198,604,238",,
Spot Month Movement:,,
SPI 200,5060.0,5116.0,5120.0,5110.0,5071.0,,
90 Day Bank Bills,97.460,97.450,97.440,97.440,97.440,,
6% 3 Year C'wlth Bonds,97.420,97.380,97.310,97.270,97.210,,
6% 10 Year C'wlth Bonds,96.310,96.245,96.145,96.100,96.025,,
,
