Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-09-26T13:15:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Sep 21,Sep 22,Sep 23,Sep 24,Sep 25,,
Volume,,
Futures,"348,538","234,031","423,555","367,587","333,319",,
Options,"5,149",920,"8,080","3,887","11,755",,
TOTAL,"353,687","234,951","431,635","371,474","345,074",,
Value ($'000),,
Futures,"120,847,159","101,741,330","129,872,827","131,198,682","103,655,570",,
Options,"549,233","91,582","861,570","436,537","1,171,607",,
TOTAL,"121,396,392","101,832,912","130,734,397","131,635,219","104,827,177",,
Spot Month Movement:,,
SPI 200,5060.0,5096.0,4995.0,5058.0,5032.0,,
90 Day Bank Bills,97.930,97.920,97.930,97.940,97.930,,
6% 3 Yr C'wlth Bonds,98.120,98.090,98.140,98.170,98.130,,
6% 10 Yr C'wlth Bonds,97.2500,97.2150,97.3000,97.3100,97.2750,,
,
